iter	RMSE
268	0.5570194297
269	0.5566421417
270	0.5559599263
271	0.5556629875
272	0.5552760135
273	0.5548236907
274	0.5543177844
275	0.5535942795
276	0.5528225766
277	0.5523681637
278	0.5519467448
279	0.5513658799
280	0.5508637606
281	0.5504305923
282	0.5499235879
283	0.5493243956
284	0.5490466636
285	0.5487830993
286	0.5482146623
287	0.5480763254
288	0.5475560771
289	0.5472400307
290	0.5466409033
291	0.5463757799
292	0.5458750503
293	0.5455087237
294	0.5453115277
295	0.5449850743
296	0.544439371
297	0.5439364583
298	0.5434029899
299	0.5427882317
300	0.5424200117
301	0.5418167883
302	0.5415414104
303	0.5412735768
304	0.5407319764
305	0.5403124129
306	0.5397746301
307	0.5392603115
308	0.5388425746
309	0.5376215528
310	0.5370918489
311	0.5367796237
312	0.5366642498
313	0.5362368297
314	0.5358412517
315	0.5352264962
316	0.5351108309
317	0.5345949732
318	0.5343022451
319	0.5338957945
320	0.5333099459
321	0.5331011438
322	0.5327391151
323	0.5323416568
324	0.5317734903
325	0.5312127599
326	0.5307742549
327	0.5303207943
328	0.5299414728
329	0.5295766272
330	0.5291640064
331	0.5289572097
332	0.5284953902
333	0.5281116225
334	0.5279547398
335	0.5275533675
336	0.5271492246
337	0.5266179366
338	0.5260636164
339	0.5258450855
340	0.525335653
341	0.524846289
342	0.5247557462
343	0.5243306144
344	0.5238619199
345	0.5237631415
346	0.5235314158
347	0.5231972448
348	0.5227532723
349	0.5222888671
350	0.5220416743
351	0.52153129
352	0.5208900166
353	0.5205460305
354	0.5201904304
355	0.5198626412
356	0.5196882445
357	0.5188785721
358	0.5184288215
359	0.5178750885
360	0.5174038478
361	0.5171748837
362	0.5169007411
363	0.5166566891
364	0.5163137979
365	0.5157852932
366	0.5157011895
367	0.5153414118
368	0.5150972288
369	0.5147834446
370	0.5144629936
371	0.5137211309
372	0.5132689857
373	0.5129436935
374	0.5125347639
375	0.5123032767
376	0.5114454254
377	0.5108567949
378	0.5103877445
379	0.5099485526
380	0.5095579716
381	0.5093703726
382	0.5091168206
383	0.5089735708
384	0.5085802903
385	0.5082035235
386	0.5076937499
387	0.5072628583
388	0.5068206702
389	0.5063411239
390	0.5058472787
391	0.5053403158
392	0.5048628854
393	0.5045394379
394	0.5042634004
395	0.5040479015
396	0.5037578439
397	0.5032094638
398	0.5027153199
399	0.5023566224
400	0.5020420145
401	0.5018282257
402	0.5015473367
403	0.5010568616
404	0.5007552406
405	0.5003436323
406	0.4999786733
407	0.4996156337
408	0.4990392147
409	0.4988853212
410	0.4980894636
411	0.4975607123
412	0.4972833643
413	0.4968403645
414	0.4964613345
415	0.4963055086
416	0.4956701781
417	0.495332295
418	0.4948070761
419	0.4945786455
420	0.494255026
421	0.4940440499
422	0.4935986531
423	0.4932469995
424	0.4927983325
425	0.4925626481
426	0.4922978239
427	0.4920558718
428	0.4917535919
429	0.4911979023
430	0.4907667073
431	0.4901317782
432	0.4896559624
433	0.489399573
434	0.4889961061
435	0.4886230311
436	0.4881648262
437	0.4876699267
438	0.4875542199
439	0.487076999
440	0.4864406427
441	0.4862195229
442	0.4860664621
443	0.4854854488
444	0.4850634642
445	0.484459417
446	0.4843570902
447	0.4842764684
448	0.4837050945
449	0.4834531276
450	0.4830197738
451	0.4827648917
452	0.4825354636
453	0.4822521121
454	0.4819697684
455	0.4817222544
456	0.4813179569
457	0.4811350251
458	0.480376061
459	0.4799733144
460	0.4794721418
461	0.4789448294
462	0.4787072716
463	0.4785340533
464	0.4782199604
465	0.4778940448
466	0.4773986425
467	0.4771374439
468	0.4769158428
469	0.4762909023
470	0.4759921997
471	0.4756826455
472	0.475215106
473	0.4747382858
474	0.4745553426
475	0.473911091
476	0.4733220199
477	0.4730568592
478	0.4727785792
479	0.4725442408
480	0.4720352846
481	0.4718386185
482	0.4714530702
483	0.4710703954
484	0.4706360504
485	0.4704479058
486	0.4702184969
487	0.4697785675
488	0.4695366067
489	0.4693210369
490	0.4689653263
491	0.4685183084
492	0.4681620125
493	0.4676704
494	0.4672992042
495	0.4671331395
496	0.4666660941
497	0.4662753087
498	0.4660062749
499	0.4655577975
500	0.4653182213
501	0.4649343307
502	0.4645226022
503	0.4644447723
504	0.4638069582
505	0.4637265083
506	0.4635056389
507	0.4632680421
508	0.4630308095
509	0.4626930729
510	0.462165003
511	0.4617588514
512	0.4615608299
513	0.4612899161
514	0.4609404341
515	0.4605530039
516	0.4603018549
517	0.4601154792
518	0.4600421075
519	0.4597899576
520	0.4593771435
521	0.4589353036
522	0.4586046364
523	0.4583667554
524	0.4578387995
525	0.4576674765
526	0.4573332961
527	0.456959096
528	0.4565802675
529	0.4559226221
530	0.4557625205
531	0.4554530325
532	0.4552432216
533	0.4549391816
534	0.4547094297
535	0.4545039539
536	0.4539866661
537	0.4538823802
538	0.4535859333
539	0.4530843359
540	0.453020935
541	0.4524265103
542	0.4519069289
543	0.4517104175
544	0.4515375084
545	0.4511828617
546	0.4510401913
547	0.4507314017
548	0.4503978635
549	0.4501214735
550	0.4497234115
551	0.4490872263
552	0.4489579412
553	0.448661301
554	0.4483274719
555	0.4481015027
556	0.4480540229
557	0.4475470225
558	0.4472095606
559	0.447146796
560	0.4469490072
561	0.4465932252
562	0.4465471645
563	0.4461818716
564	0.4460926177
565	0.4458316706
566	0.445123032
567	0.4449310242
568	0.444456839
569	0.4441052185
570	0.4438785564
571	0.4437148199
572	0.4432747712
573	0.4430129599
574	0.44273143
575	0.4423905001
576	0.4420122305
577	0.4416663772
578	0.4413980497
579	0.4410311804
580	0.4409734777
581	0.4404621303
582	0.4403894213
583	0.4403473573
584	0.4397786784
585	0.4395454524
586	0.4388830913
587	0.4387672325
588	0.4384259337
589	0.4383426169
590	0.438239749
591	0.437669482
592	0.4373944408
593	0.437235525
594	0.4368744926
595	0.436495107
596	0.4361438931
597	0.4360212229
598	0.435906715
599	0.4354761263
600	0.4353761119
601	0.4353284432
602	0.434783086
603	0.4344744975
604	0.4341275421
605	0.433728634
606	0.4335782612
607	0.4332531385
608	0.4328463067
609	0.4325235616
610	0.4319312565
611	0.4318020403
612	0.4317891264
613	0.431354489
614	0.4310423466
615	0.4305882065
616	0.4302666067
617	0.4301786109
618	0.4299635926
619	0.4291589495
620	0.4288271471
621	0.4285185077
622	0.4283869131
623	0.4281116904
624	0.4276774227
625	0.4275397775
626	0.4268992368
627	0.4267675283
628	0.4265552613
629	0.4263083255
630	0.4262512684
631	0.4259046095
632	0.4256057397
633	0.425492414
634	0.4251804183
635	0.4249341959
636	0.4247027869
637	0.4243315468
638	0.4238274534
639	0.4235318695
640	0.4228553272
641	0.4225820066
642	0.4220374274
643	0.4216727833
644	0.4214030143
645	0.4211122961
646	0.4209698642
647	0.4207357781
648	0.4206121285
649	0.4202648154
650	0.420107696
651	0.419917905
652	0.4195602479
653	0.4195214377
654	0.4191946118
655	0.4188452741
656	0.4187575503
657	0.4185039406
658	0.417970011
659	0.4176883906
660	0.417420661
661	0.4172245758
662	0.4168176428
663	0.4166031237
664	0.4161875264
665	0.4158121033
666	0.4157543066
667	0.4153325744
668	0.415094982
669	0.4148321596
670	0.4147372815
671	0.4146206595
672	0.4143577797
673	0.4141931125
674	0.4139654199
675	0.4136230986
676	0.4132228295
677	0.4129830551
678	0.4128137562
679	0.4125471252
680	0.4122876674
681	0.4120022811
682	0.411551542
683	0.4112487107
684	0.4107509484
685	0.4106106778
686	0.4104083261
687	0.4102608851
688	0.4097274256
689	0.4093137876
690	0.4088198761
691	0.4085310679
692	0.4082301624
693	0.4079869012
694	0.4079284292
695	0.4078631217
696	0.4074972101
697	0.4072183629
698	0.4070008535
699	0.4068616506
700	0.4063803507
701	0.4062252096
702	0.4059068456
703	0.4057177177
704	0.4054729177
705	0.4052326816
706	0.4051336959
707	0.4047254833
708	0.4044859299
709	0.404303809
710	0.4042117468
711	0.4040793839
712	0.4038017939
713	0.4034076504
714	0.4029110512
715	0.4026890654
716	0.4023708552
717	0.4022775305
718	0.4019204557
719	0.4017524719
720	0.4016016211
721	0.4014940521
722	0.4014418956
723	0.4009637486
724	0.4006711639
725	0.4005691689
726	0.4001602908
727	0.3997977676
728	0.3995884809
729	0.3992548911
730	0.3991753879
731	0.3987724504
732	0.3985230577
733	0.3983870074
734	0.398043965
735	0.3978526382
736	0.3978143515
737	0.3977902364
738	0.3973348808
739	0.3972879105
740	0.3967376587
741	0.3964490319
742	0.3962235832
743	0.3961897875
744	0.395970645
745	0.3955924684
746	0.3952222521
747	0.3948844799
748	0.3946042776
749	0.3945082281
750	0.3942153361
751	0.3941052302
752	0.3939471043
753	0.3937101888
754	0.3935151798
755	0.3933309073
756	0.3929700027
757	0.3927717456
758	0.3925186564
759	0.3921321369
760	0.3919122882
761	0.3918598919
762	0.3914785082
763	0.391306338
764	0.3911549825
765	0.3910312246
766	0.3906106671
767	0.3901861626
768	0.3896124861
769	0.3892576473
770	0.3889626379
771	0.3884521206
772	0.3880449013
773	0.3879734072
774	0.3876344551
775	0.3874915627
776	0.3871956645
777	0.3866506072
778	0.3865996827
779	0.3863195496
780	0.3861221551
781	0.3858694904
782	0.3855548626
783	0.3852268955
784	0.3849437128
785	0.3845408944
786	0.3841211723
787	0.3840348284
788	0.3836819332
789	0.3832765268
790	0.3828181539
791	0.3825550556
792	0.3821072067
793	0.3817465098
794	0.3815994707
795	0.3811850239
796	0.3809984815
797	0.3805743285
798	0.3804526362
799	0.3799553231
800	0.379832815
801	0.3796372659
802	0.3793229887
803	0.3790796888
804	0.3789251288
805	0.3787949336
806	0.3782838294
807	0.3780586395
808	0.3778216389
809	0.377651656
810	0.3772723702
811	0.3770075868
812	0.3767563173
813	0.3766638767
814	0.3766210842
815	0.3765673789
816	0.3763184137
817	0.3758524508
818	0.3754409569
819	0.3751448208
820	0.3748983345
821	0.3747344204
822	0.3746450147
823	0.3742665277
824	0.3741474014
825	0.373973479
826	0.3735892927
827	0.3734058437
828	0.3732315295
829	0.3730258433
830	0.3729397152
831	0.3726867869
832	0.37245008
833	0.3722117854
834	0.3719580643
835	0.371804382
836	0.3715257186
837	0.3712374087
838	0.3710587135
839	0.3706329843
840	0.3704499687
841	0.3702602577
842	0.370009969
843	0.3695648912
844	0.369304929
845	0.3690933148
846	0.3686816572
847	0.3682436269
848	0.3679064678
849	0.367533887
850	0.3673381754
851	0.3672307222
852	0.3669857941
853	0.3666508605
854	0.366455539
855	0.3663530127
856	0.3662191875
857	0.3661194361
858	0.365688334
859	0.3653855905
860	0.3649708867
861	0.3648691865
862	0.3646572883
863	0.3644417161
864	0.3642038241
865	0.3640649678
866	0.3639413769
867	0.3637011409
868	0.3633086904
869	0.3630679111
870	0.3628380254
871	0.3625241344
872	0.3623543018
873	0.362174067
874	0.3619662724
875	0.3619392504
876	0.3615784965
877	0.3614187125
878	0.3613009705
879	0.3611212409
880	0.3607425932
881	0.3606950647
882	0.3603892021
883	0.3599436203
884	0.3598356916
885	0.359641933
886	0.3595152566
887	0.3593562125
888	0.3590701111
889	0.3588310494
890	0.3585217928
891	0.3582802933
892	0.3580373267
893	0.3579696089
894	0.3577861214
895	0.3576747653
896	0.3575088324
897	0.3573291561
898	0.3572077513
899	0.3569341639
900	0.3567745105
901	0.3565621237
902	0.3565023518
903	0.3560355028
904	0.3559919648
905	0.3557843983
906	0.355502043
907	0.3553731263
908	0.355242574
909	0.3548221205
910	0.3545208354
911	0.3543292659
912	0.3541047419
913	0.3537585694
914	0.3535560093
915	0.3531190403
916	0.3530311968
917	0.3527688837
918	0.3525830181
919	0.3524640531
920	0.3521146084
921	0.351866404
922	0.3516906592
923	0.351461782
924	0.3512353722
925	0.3511308429
926	0.3510720353
927	0.3508483101
928	0.3507395753
929	0.35072222
930	0.3503553718
931	0.350230201
932	0.3499460002
933	0.3497747104
934	0.3495286178
935	0.349247641
936	0.3490222686
937	0.3487783522
938	0.34863752
939	0.3486232963
940	0.3483295093
941	0.348134893
942	0.3479704225
943	0.3477901164
944	0.347468357
945	0.3471269142
946	0.3470873389
947	0.3468887684
948	0.3466628175
949	0.3464693423
950	0.3461986386
951	0.3456091242
952	0.3454879343
953	0.3453853693
954	0.3451749868
955	0.3451198207
956	0.3445122139
957	0.3441444568
958	0.3438045505
959	0.3437463812
960	0.3436287445
961	0.3435669795
962	0.3434899072
963	0.3429780606
964	0.3428780236
965	0.3428141774
966	0.3426641213
967	0.3422643329
968	0.3421702491
969	0.3420885701
970	0.3418523674
971	0.3416958702
972	0.3413547484
973	0.3411662647
974	0.3410082053
975	0.340899425
976	0.3406332307
977	0.3404533391
978	0.3402820723
979	0.340123285
980	0.3399781947
981	0.3396351025
982	0.3393802603
983	0.3390551398
984	0.3390085846
985	0.338721948
986	0.3384708817
987	0.33827501
988	0.3381398218
989	0.3379656917
990	0.337791149
991	0.3376412246
992	0.3372342142
993	0.337045852
994	0.3368082366
995	0.3366880277
996	0.3364051452
997	0.3362837007
998	0.3361526316
999	0.336058803
